City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Murten,CH,81.1,mist,46.9283,7.1172,HOTEL MURTEN
635,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
636,Malakal,SS,76.59,overcast clouds,9.5334,31.6605,Nile Palace Hotel
639,Eyl,SO,82.31,overcast clouds,7.9803,49.8164,Amiin Hotel
641,Springfield,US,82.9,overcast clouds,37.2153,-93.2982,Best Western Route 66 Rail Haven
644,Fukue,JP,78.12,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
648,Bien Hoa,VN,76.98,light rain,10.95,106.8167,OYO 991 Duy Anh Hotel
659,Vadeni,RO,79.34,overcast clouds,45.3667,27.9333,Motel & Restaurant Casa Aursei
663,Pierre,US,84.85,clear sky,44.3683,-100.351,Ramkota Hotel
665,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
666,Paracuru,BR,85.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
667,Kieta,PG,77.9,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
669,Jining,CN,79.52,overcast clouds,35.405,116.5814,Yunhe Star Hotel
670,Havelock,US,84.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
671,Nanakuli,US,76.6,broken clouds,21.3906,-158.1547,Camp Pālehua
672,Ahero,KE,75.18,scattered clouds,-0.1746,34.9163,Jesmic Hotel
676,Roma,US,76.57,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
678,Ende,ID,75.92,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
680,Saint-Denis,FR,86.34,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
683,Caimito,CO,88.56,scattered clouds,8.8123,-75.4107,VIVIENDA ESTUDIANTE
689,Ugoofaaru,MV,81.7,broken clouds,5.6667,73.0,Ungoofaaru Inn
