City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Samarai,PG,2022-07-06 21:06:47,-10.6167,150.6667,81.45,80,29,11.83
277,Salekhard,RU,2022-07-06 21:06:47,66.53,66.6019,54.28,90,33,5.3
278,Berlevag,NO,2022-07-06 21:06:47,70.8578,29.0864,53.6,87,75,11.5
279,La Ronge,CA,2022-07-06 21:06:48,55.1001,-105.2842,65.68,44,69,1.97
280,Labe,GN,2022-07-06 21:06:48,11.3182,-12.2833,67.64,93,91,1.99
281,Arcoverde,BR,2022-07-06 21:06:48,-8.4189,-37.0539,68.47,90,81,6.13
282,La Romana,DO,2022-07-06 21:06:49,18.4273,-68.9728,86.9,58,18,12.82
283,Barabai,ID,2022-07-06 21:06:49,-2.5833,115.3833,71.89,97,100,1.19
284,Huilong,CN,2022-07-06 21:06:49,31.8111,121.655,79.86,88,64,3.87
285,Vila Do Maio,CV,2022-07-06 21:06:50,15.1333,-23.2167,75.09,86,64,14.16
286,Bathsheba,BB,2022-07-06 21:06:50,13.2167,-59.5167,83.05,84,22,17.27
287,Kirakira,SB,2022-07-06 21:06:50,-10.4544,161.9205,81.27,77,82,10.63
288,Sistranda,NO,2022-07-06 21:06:51,63.7256,8.834,49.96,77,65,21.25
289,Tura,IN,2022-07-06 21:06:51,25.5198,90.2201,74.52,88,58,3.78
290,Svencionys,LT,2022-07-06 21:06:52,55.15,26.1667,51.35,96,100,4.25
291,Aflao,TG,2022-07-06 21:06:52,6.116,1.1914,77.67,87,54,9.66
292,Klichka,RU,2022-07-06 21:06:52,50.4457,117.996,54.09,90,37,6.78
293,Trairi,BR,2022-07-06 21:06:03,-3.2778,-39.2689,78.66,77,94,10.71
