City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,72,14,12.86,few clouds
267,Binzhou,CN,37.3667,118.0167,76.64,87,100,8.41,overcast clouds
268,Paragominas,BR,-2.9667,-47.4833,87.78,52,70,5.21,broken clouds
269,Pedro Juan Caballero,PY,-22.5472,-55.7333,78.76,44,0,16.11,clear sky
270,Port Hedland,AU,-20.3167,118.5667,51.85,71,2,6.91,clear sky
271,Mount Gambier,AU,-37.8333,140.7667,37.31,93,100,5.75,overcast clouds
272,Urucara,BR,-2.5364,-57.76,90.32,48,74,6.29,broken clouds
273,Flinders,AU,-34.5833,150.8552,52.18,90,90,7.0,heavy intensity rain
274,Kodiak,US,57.79,-152.4072,53.11,94,100,17.27,light rain
275,Mount Isa,AU,-20.7333,139.5,53.37,47,0,10.36,clear sky
276,Faya,SA,18.3851,42.4509,71.71,39,100,4.74,overcast clouds
277,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,73,0,18.41,clear sky
278,Vao,NC,-22.6667,167.4833,74.53,86,1,10.4,clear sky
279,Thinadhoo,MV,0.5333,72.9333,82.65,75,14,7.67,few clouds
280,San Patricio,US,28.017,-97.5169,94.06,40,8,4.7,clear sky
281,Kaduqli,SD,11.0167,29.7167,76.41,74,100,5.12,light rain
282,Yangjiang,CN,21.85,111.9667,79.56,90,44,5.19,scattered clouds
283,Kedrovyy,RU,56.1667,91.8167,55.87,79,87,1.68,overcast clouds
284,Safford,US,32.834,-109.7076,91.11,31,2,5.95,clear sky
285,Porlamar,VE,10.958,-63.8491,84.29,79,94,16.11,overcast clouds
286,Abonnema,NG,4.7084,6.7931,75.16,89,99,9.44,light rain
287,Puerto Narino,CO,-3.7703,-70.3831,90.18,52,59,4.63,broken clouds
288,Puerto Suarez,BO,-18.95,-57.8,91.96,54,0,12.66,clear sky
289,Charters Towers,AU,-20.1,146.2667,52.77,68,14,7.2,few clouds
290,Georgetown,MY,5.4112,100.3354,84.88,76,20,0.0,few clouds
291,Puro,PH,12.4841,123.3827,79.16,85,92,5.93,overcast clouds
292,Zhigansk,RU,66.7697,123.3711,47.52,85,60,8.32,broken clouds
293,Sao Filipe,CV,14.8961,-24.4956,74.05,82,26,6.82,scattered clouds
294,Tigil,RU,57.8,158.6667,59.05,95,19,6.73,few clouds
295,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,65,20,12.66,few clouds
296,Codrington,AU,-38.2667,141.9667,42.62,92,1,5.91,clear sky
297,Kabanjahe,ID,3.1001,98.4908,62.06,94,99,4.32,overcast clouds
298,Javornik,CZ,50.3908,17.0027,67.46,76,100,6.73,overcast clouds
299,Hami,CN,42.8,93.45,88.97,10,74,18.92,broken clouds
300,Mao,ES,39.8885,4.2658,86.56,30,0,11.5,clear sky
301,Wanning,CN,18.8003,110.3967,79.84,88,74,2.98,light rain
302,Sidi Ali,DZ,36.0998,0.4206,78.08,55,0,16.96,clear sky
303,Camacha,PT,33.0833,-16.3333,69.22,78,20,21.85,few clouds
304,Bathsheba,BB,13.2167,-59.5167,88.41,84,20,21.85,few clouds
305,Caravelas,BR,-17.7125,-39.2481,78.15,59,3,9.15,clear sky
306,Nelson Bay,AU,-32.7167,152.15,50.0,88,35,11.99,scattered clouds
307,Hukuntsi,BW,-24.0,21.75,63.54,27,0,7.23,clear sky
308,Juneau,US,58.3019,-134.4197,59.85,94,100,9.22,light rain
309,Kloulklubed,PW,7.0419,134.2556,79.3,80,100,11.86,light rain
310,Umba,RU,66.6871,34.3429,58.96,68,92,6.71,overcast clouds
311,Longyearbyen,SJ,78.2186,15.6401,46.24,61,20,20.71,few clouds
312,Elko,US,41.0002,-115.5012,84.74,15,92,13.0,overcast clouds
313,Murphy,US,33.0151,-96.6131,101.32,44,75,1.99,broken clouds
314,Cockburn Town,TC,21.4612,-71.1419,84.16,65,75,14.97,broken clouds
315,Lagoa,PT,39.05,-27.9833,66.92,76,71,10.58,broken clouds
316,Tromso,NO,69.6496,18.957,59.02,67,40,10.36,scattered clouds
317,Varhaug,NO,58.6147,5.6457,56.75,78,95,25.55,overcast clouds
318,Broome,US,42.2506,-75.833,80.02,49,40,5.01,scattered clouds
319,Luquillo,PR,18.3725,-65.7166,89.76,74,0,12.66,clear sky
320,Alice Springs,AU,-23.7,133.8833,33.35,80,0,0.0,clear sky
321,Galle,LK,6.0367,80.217,80.73,81,100,15.79,overcast clouds
322,Belmopan,BZ,17.25,-88.7667,84.58,49,68,6.04,broken clouds
323,Churapcha,RU,62.0025,132.4325,58.95,69,100,4.81,overcast clouds
324,Machilipatnam,IN,16.1667,81.1333,79.65,79,100,19.6,light rain
325,Severo-Kurilsk,RU,50.6789,156.125,54.25,90,99,11.68,overcast clouds
326,Herouville-Saint-Clair,FR,49.2109,-0.3065,73.22,60,0,12.66,clear sky
327,Jardim,BR,-21.4803,-56.1381,92.34,23,2,10.92,clear sky
328,Arman,RU,59.7,150.1667,54.57,96,35,3.4,scattered clouds
329,Susanville,US,40.4163,-120.653,73.9,39,0,5.99,clear sky
330,Tuatapere,NZ,-46.1333,167.6833,33.96,84,13,3.22,few clouds
331,Agadez,NE,19.75,10.25,102.36,9,0,7.56,clear sky
332,Filadelfia,US,39.9523,-75.1638,79.18,81,100,10.36,overcast clouds
333,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,68,46,8.95,scattered clouds
334,Meulaboh,ID,4.1363,96.1285,77.77,87,99,3.56,overcast clouds
335,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,51,17.92,light rain
336,Marathon,US,44.9,-89.7668,75.43,53,40,4.61,scattered clouds
337,Zamora,EC,-4.0692,-78.9567,72.64,100,100,2.98,light rain
338,Gizo,SB,-8.103,156.8419,80.37,71,54,5.28,broken clouds
339,San Luis,AR,-33.295,-66.3356,73.27,20,0,19.3,clear sky
340,Taonan,CN,45.3333,122.7833,69.67,49,27,8.99,scattered clouds
341,Lisakovsk,KZ,52.5369,62.4936,68.94,60,73,8.14,broken clouds
342,Clyde River,CA,70.4692,-68.5914,43.03,81,20,2.3,few clouds
343,Kendari,ID,-3.945,122.4989,74.23,94,100,1.36,overcast clouds
344,Sint-Lievens-Houtem,BE,50.9329,3.8809,73.11,52,81,15.48,broken clouds
345,Wad Madani,SD,14.4012,33.5199,88.72,43,96,12.5,overcast clouds
346,Pemberton,CA,50.3164,-122.8027,62.29,70,100,2.51,overcast clouds
